id,name,description,image,localLanguages,location,owner,ageReccomendation,tags
1,Machu Picchu,A historical landmark with rich cultural significance,machu_picchu.jpg,Portuguese,Massy,Bebe Strain,30,historic
2,Statue of Liberty,An iconic tourist attraction that offers unique experiences,great_wall.jpg,English,Kępie Żaleszańskie,Sayers Beernt,13,adventure
3,Colosseum,A popular destination known for its vibrant nightlife,great_wall.jpg,English,Arasji,Betteann Gummow,20,adventure
4,Angkor Wat,A historical landmark with rich cultural significance,great_wall.jpg,Japanese,Laguna Paiva,Calvin Gardener,16,mountain
5,Colosseum,A breathtaking tourist spot with stunning views,machu_picchu.jpg,English,Mintang,Northrop Woolliams,30,family-friendly
6,Santorini,A breathtaking tourist spot with stunning views,machu_picchu.jpg,Chinese,Ivanovskoye,Shina Moller,19,historic
7,Taj Mahal,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Chinese,Antalaha,Pamella Chinnery,12,cultural
8,Taj Mahal,A historical landmark with rich cultural significance,taj_mahal.jpg,French,Carodok,Casie Reeday,22,historic
9,Great Wall of China,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Spanish,Tamuning-Tumon-Harmon Village,Salmon Dowzell,23,family-friendly
10,Sydney Opera House,A breathtaking tourist spot with stunning views,great_wall.jpg,Italian,Kisumu,Kain MacMakin,26,adventure
11,Statue of Liberty,A breathtaking tourist spot with stunning views,great_wall.jpg,Arabic,Shiyuan,Meredith Bright,22,natural
12,Colosseum,A historical landmark with rich cultural significance,taj_mahal.jpg,French,Comrat,Lenette Tierney,27,historic
13,Taj Mahal,An iconic tourist attraction that offers unique experiences,great_wall.jpg,Italian,Pandean,Elvira Gubbin,28,urban
14,Angkor Wat,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Russian,Blagoevgrad,Ty Timbridge,15,urban
15,Colosseum,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,German,Chalamarca,Bobina Karolyi,20,mountain
16,Eiffel Tower,A breathtaking tourist spot with stunning views,machu_picchu.jpg,Portuguese,Huaqiao,Jacintha Castellucci,19,urban
17,Colosseum,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Chinese,Douz,Wendye Conlon,27,historic
18,Pyramids of Giza,A breathtaking tourist spot with stunning views,great_wall.jpg,Spanish,Wakimachi,Roldan Schirach,20,adventure
19,Statue of Liberty,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Chinese,Czechowice-Dziedzice,Imogene O' Culligan,11,mountain
20,Statue of Liberty,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Japanese,Três de Maio,Elena Esson,13,natural
21,Eiffel Tower,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,German,Phon Phisai,Alejoa Kilcoyne,16,family-friendly
22,Machu Picchu,A historical landmark with rich cultural significance,statue_of_liberty.jpg,Arabic,Rio Claro,Nester Enos,23,family-friendly
23,Colosseum,A historical landmark with rich cultural significance,machu_picchu.jpg,Spanish,Ōfunato,Mayor Kerin,12,family-friendly
24,Pyramids of Giza,A historical landmark with rich cultural significance,statue_of_liberty.jpg,English,Paloh,Reinaldo Wyvill,16,cultural
25,Eiffel Tower,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Portuguese,Bayḩān,Joly Partner,16,beach
26,Statue of Liberty,A historical landmark with rich cultural significance,great_wall.jpg,German,Elías,Sher Eunson,28,adventure
27,Machu Picchu,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,English,Zhaowanzhuang,Lara Jakubczyk,24,urban
28,Santorini,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Portuguese,Ushiku,Dame Kingescot,15,cultural
29,Sydney Opera House,An iconic tourist attraction that offers unique experiences,taj_mahal.jpg,Japanese,Haukipudas,Noel Bilborough,19,mountain
30,Colosseum,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,English,Keelung,Reid Pearle,18,mountain
31,Statue of Liberty,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,Italian,Drammen,Wilmer Lamball,22,adventure
32,Statue of Liberty,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,Arabic,Randudongkal,Sula Clapshaw,10,natural
33,Machu Picchu,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Italian,Longgang,Munmro Bignal,29,historic
34,Great Wall of China,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,Portuguese,Encruzilhada do Sul,Kiersten McOwen,24,family-friendly
35,Statue of Liberty,A breathtaking tourist spot with stunning views,great_wall.jpg,French,Nogueira do Cravo,Andrea Armstead,23,adventure
36,Machu Picchu,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Arabic,Shilovo,Aila Gilardengo,27,mountain
37,Santorini,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Japanese,Itum-Kali,Karee Baudichon,13,mountain
38,Statue of Liberty,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Italian,Suai,Worth Addess,18,natural
39,Taj Mahal,A historical landmark with rich cultural significance,statue_of_liberty.jpg,Japanese,Ilagan,Osbourn Heustice,28,beach
40,Statue of Liberty,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Italian,Zarechnyy,Jayme Arkil,26,mountain
41,Santorini,A historical landmark with rich cultural significance,machu_picchu.jpg,Japanese,Kauswagan,Theressa Mars,17,cultural
42,Angkor Wat,A serene and peaceful retreat surrounded by nature,eiffel_tower.jpg,Japanese,Monte Alegre,Cazzie Barefoot,22,urban
